input	target
@USER I say grab him. What a difference maker. He is a home run hitter to compliment smoke. Means we release Grant and Snead has to take over. Don’t know the whole story why Browns would release him. But he is a legit number one WR	1
@USER He's still around?	0
"@USER Hahahahahaha......Said the idiot @USER who handed over billions to the Iranians in what was likely the worst deal in the history of US foreign policy.... You are the poster child for someone not qualified to do a job""...."""	1
@USER Oakland line sucks	1
@USER Haven't set any expectations on him... he has set his own goals chasing his own dreams..  he has asked those questions from the doctor and making decisions with advisement from me his parent... he is growing to be his own man	0
@USER @USER @USER And your gun control has failed to reduce homicides.  Your homicide rate has not dropped after all of those gun laws.  It has however rose.  Enjoy bending a knee to the people who don't really give a shit about you though.	1
AfD * Like a BOSS * AfD-Ordner reagiert COOL * Antifa * Niedersachsen URL shakin that	0
@USER @USER Yes it did... And it's on editorial... Is Joe Q the editor of X-Men... No he isn't... He is editor in Chief. He is the boss of all the other editors... Sooo he wasn't responsible... I shouldn't be arguing because this is stupid...	1
@USER @USER I wish they’d keep in up through the elections. Especially Antifa.	0
"@USER Radicalism???  who's behind Antifa and other disruptive organizations causing havoc - your buddy George Soros.  Again, if you have a SPECIFIC accusation, you should bring it... all of your words are political rhetoric.  Nothing clear"" here."""	0
@USER They should. Hopefully voters will realise that they could have ended this shitshow well before the midterms.	1
@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here	1
10kids from different women from this American jobless men? Nigerian men you are the bomb!!!	1
@USER Brennan is a disgrace-without a clearance 😃	1
"@USER @USER @USER @USER For a President that is so unqualified "",  Donald J Trump most certainly is successful!  You can dislike the man, but you cannot deny his achievements!"""	0
@USER Yeah she is and oh I’m working that day but we will plan it!	0
@USER I hate Steffy.......why because she always gets what she wants and doesn’t care how she does it or who she hurts!!! I knew her giving Hope to Liam was to good to be true.  She is such a B$);H.	0
@USER That’s right #WalkAwayFromDemocrats  #VoteRedToSaveAmerica  #VoteRed2018  #MCGA. #MAGA	0
@USER @USER @USER @USER Somehow I doubt that statistic you just made up in your head. URL	1
@USER @USER Betty I think women have been handed a character assassination  bomb to destroy MEN by the liberals and the FEMINISTS. I would hate to know these women represent  ME. WHY WAIT ALL THESE YEARS TO REPORT...	1
@USER @USER Liberals have no shame. To them the outcome justifies the mean	1
@USER Just the fact that #StopKavanagh REPEATEDLY attempted to block the abortion for an undocumented immigrant (which she wanted) tells me   he is unfit to serve on the Supreme Court.   We don’t need a person who cherrypicks what laws will or will not be respected.  @USER	1
@USER Could you kiss his ass more? You are a complete disgrace as a Senator #VoteHimOut #VoteBlue #VoteThemOut #Blackmail URL	1
#LeviStrauss #CEO takes a side on gun control: ‘It’s inevitable that we’re going to alienate some consumers’ URL URL	0
@USER Liberals like you WILL never convince us to become lazy entitled victims. But keep trying. I just feel sorry for your son. Having to be raised by someone who will only impart him with the mindset of self-hate and victim-hood.	1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Amazing what liberals can dig up when they’re desperate! URL	0
@USER I believe that the gun control laws should not be so strict because criminals will still obtain guns regardless of gun restrictions and would make it harder for a law abiding citizen to defend themselves against an attack.	0
@USER Why you ignore my best friend she all deserve your fucking follow she love you with all your heart she waiting for 8 years 🙏🏻🙏🏻🙏🏻🙏🏻 @USER	0
@USER Happy Birthday(s)!	0
@USER Of course he is offended he is ill due to liberalism!	1
@USER @USER Alt-right are losers and whiners w/no power. They don't matter. Many right-wing oligarchs fund Antifa to attack Alt-right.  Russian intel funds both Antifa and Alt-right. Russia hawks are onto something. Alt-right are pro-Russia.	0
@USER 2020?  Michael Moore is a cheeseburger away from not making it to 2019!	0
@USER @USER you have a lot to atone for. You better atone for all your lies. I used to think you were a better person. I can’t see anything but evil.	0
@USER He is perfect for the part! Im with it .	0
@USER Get out!!!!	0
"@USER Honestly, right after the election I still hoped that Trump would prove to be a secret Democrat"" (on at least some issues) and that it would be conservatives who were mad and depressed by this point in his presidency.  Obviously I was wrong."""	0
#WashingtonPost broke the story therapist notes Miss Ford stated four men assaulted her 😠 now it's two😮 #VoteDemsOut to end #DirtyTricks stop what's wrong with #DC #Kavanaugh #maga #FoxNews #Liar #CNN #msnbc #SenFlake #Wrong to use #MeToo for politics  #ChristineBlaseyFord URL	1
@USER So she can’t be effected by the radiation but killed. I hope he mentions Lady Gaga witch. Since she is the only known immortal witch and supreme	1
@USER @USER He is not good in Debate but very good in Dancing Competition.	0
@USER I thought so... I'm mingling... ever since you decided to attack my opinion on gun control and Brett Kavanaugh. I just asked you if having a conversation with you would be worth my time and effort. So far all you've done is prove that it is not worth the effort. 😉have a nice day	0
@USER @USER He is an embarrassment	1
@USER holy fuck	1
